firstname,lastname,impact_rating,ppg,rpg,apg
Wilt,Chamberlain,57.40287081339713,30.06602870813397,22.89377990430622,4.443062200956938
Julius,Erving,49.01719901719901,28.653562653562652,12.098280098280098,4.796068796068796
Artis,Gilmore,46.22142857142857,22.29047619047619,17.06904761904762,3.030952380952381
Bob,Pettit,45.57828282828283,26.363636363636363,16.223484848484848,2.9911616161616164
Elgin,Baylor,45.226950354609926,27.3628841607565,13.549645390070921,4.314420803782506
Connie,Hawkins,45.11111111111111,28.162393162393162,12.64102564102564,4.3076923076923075
Shaquille,O'neal,44.78684807256236,26.738095238095237,11.95124716553288,2.8446712018140587
Michael,Jordan,44.77985074626866,30.12313432835821,6.223880597014926,5.254664179104478
George,Mcginnis,43.63057324840764,25.219745222929937,12.9171974522293,3.515923566878981
Marvin,Barnes,43.625,24.0625,13.381944444444445,2.7708333333333335
Larry,Bird,43.222965440356745,24.29319955406912,10.004459308807135,6.348940914158305
Billy,Cunningham,43.12931034482758,23.137931034482758,11.577586206896552,5.862068965517241
Oscar,Robertson,42.77115384615385,25.682692307692307,7.503846153846154,9.506730769230769
Kareem,Abdul-jabbar,42.202564102564104,24.60705128205128,11.179487179487179,3.628205128205128
Rick,Barry,42.09734513274337,30.460176991150444,7.5,4.1371681415929205
