firstname,lastname,efficiency,ppg,rpg,apg
Wilt,Chamberlain,57.40287081339713,30.06602870813397,22.89377990430622,4.443062200956938
Bob,Pettit,45.57828282828283,26.363636363636363,16.223484848484848,2.9911616161616164
Elgin,Baylor,45.226950354609926,27.3628841607565,13.549645390070921,4.314420803782506
Julius,Erving,45.04422604422604,28.653562653562652,12.098280098280098,4.796068796068796
Oscar,Robertson,42.771153846153844,25.682692307692307,7.503846153846154,9.506730769230769
Artis,Gilmore,42.46190476190476,22.29047619047619,17.06904761904762,3.030952380952381
Connie,Hawkins,42.07692307692308,28.162393162393162,12.64102564102564,4.3076923076923075
Michael,Jordan,42.05223880597015,30.12313432835821,6.223880597014926,5.254664179104478
Shaquille,O'neal,41.91043083900227,26.738095238095237,11.95124716553288,2.8446712018140587
Bill,Russell,41.78816199376947,15.079958463136034,22.45067497403946,4.257528556593977
Kareem,Abdul-jabbar,40.582692307692305,24.60705128205128,11.179487179487179,3.628205128205128
Rick,Barry,40.309734513274336,30.460176991150444,7.5,4.1371681415929205
Larry,Bird,40.08361204013378,24.29319955406912,10.004459308807135,6.348940914158305
Marvin,Barnes,39.895833333333336,24.0625,13.381944444444445,2.7708333333333335
Jerry,West,39.603004291845494,27.030042918454935,5.76824034334764,6.6931330472103
