firstname,lastname,ppg,pts,gp
Rick,Barry,30.460176991150444,6884,226
Charlie,Scott,30.141104294478527,4913,163
Michael,Jordan,30.12313432835821,32292,1072
Wilt,Chamberlain,30.06602870813397,31419,1045
Julius,Erving,28.653562653562652,11662,407
Connie,Hawkins,28.162393162393162,3295,117
Allen,Iverson,27.439344262295084,16738,610
Elgin,Baylor,27.3628841607565,23149,846
Jerry,West,27.030042918454935,25192,932
Shaquille,O'neal,26.738095238095237,23583,882
Bob,Pettit,26.363636363636363,20880,792
George,Gervin,26.1795195954488,20708,791
John,Brisker,26.09268292682927,5349,205
Oscar,Robertson,25.682692307692307,26710,1040
Dan,Issel,25.646,12823,500
