ilkid,year,firstname,lastname,conference,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
AbdulKa01 ,1978,Karem,Abdul-Jabbar,west,N,1,28,11.0,nan,nan,8.0,3.0,nan,nan,nan,nan,12.0,5.0,2.0,1.0,nan,nan
AbdulKa01 ,1969,Karem,Abdul-Jabbar,east,N,1,18,10.0,nan,nan,11.0,4.0,nan,nan,nan,nan,8.0,4.0,2.0,2.0,nan,nan
AbdulKa01 ,1988,Kareem,Abdul-Jabbar,west,N,1,13,4.0,nan,nan,3.0,0.0,nan,nan,nan,nan,6.0,1.0,2.0,2.0,nan,nan
AbdulKa01 ,1987,Kareem,Abdul-Jabbar,west,N,1,14,10.0,nan,nan,4.0,0.0,nan,nan,nan,nan,9.0,4.0,2.0,2.0,nan,nan
AbdulKa01 ,1986,Kareem,Abdul-Jabbar,west,N,1,27,10.0,nan,nan,8.0,3.0,nan,nan,nan,nan,9.0,4.0,2.0,2.0,nan,nan
AbdulKa01 ,1985,Kareem,Abdul-Jabbar,west,N,1,32,21.0,nan,nan,7.0,2.0,nan,nan,nan,nan,15.0,9.0,4.0,3.0,nan,nan
AbdulKa01 ,1984,Kareem,Abdul-Jabbar,west,N,1,23,11.0,nan,nan,6.0,1.0,nan,nan,nan,nan,10.0,5.0,2.0,1.0,nan,nan
AbdulKa01 ,1983,Kareem,Abdul-Jabbar,west,N,1,37,25.0,nan,nan,13.0,2.0,nan,nan,nan,nan,19.0,11.0,4.0,3.0,nan,nan
AbdulKa01 ,1982,Kareem,Abdul-Jabbar,west,N,1,32,20.0,nan,nan,6.0,5.0,nan,nan,nan,nan,12.0,9.0,3.0,2.0,nan,nan
AbdulKa01 ,1981,Kareem,Abdul-Jabbar,west,N,1,23,15.0,nan,nan,6.0,4.0,nan,nan,nan,nan,9.0,6.0,3.0,3.0,nan,nan
AbdulKa01 ,1980,Kareem,Abdul-Jabbar,west,N,1,23,15.0,nan,nan,6.0,4.0,nan,nan,nan,nan,9.0,6.0,3.0,3.0,nan,nan
