player_name,ppg,rpg,apg,outlier_score,outlier_iso,outlier_z,outlier_stat
Kareem Abdul-jabbar,24.60705128205128,11.179487179487179,3.628205128205128,3,1,1,1
Shareef Abdur-rahim,19.848214285714285,8.145833333333334,2.7485119047619047,3,1,1,1
Alvan Adams,14.078947368421053,7.021255060728745,4.060728744939271,3,1,1,1
Michael Adams,14.73353751914242,2.909647779479326,6.445635528330781,3,1,1,1
Mark Aguirre,19.99783315276273,4.9599133261105095,3.1105092091007585,3,1,1,1
Chris Andersen,5.126696832579186,4.787330316742081,0.6561085972850679,2,0,1,1
Kenny Anderson,12.574592074592074,3.078088578088578,6.055944055944056,3,1,1,1
Nate Archibald,18.81392694063927,2.335616438356164,7.392694063926941,3,1,1,1
Paul Arizin,22.813464235624124,8.596072931276296,2.335203366058906,3,1,1,1
Ron Artest,14.411931818181818,4.730113636363637,2.9801136363636362,3,1,1,1
John Bagley,8.724812030075189,2.6,5.984962406015038,2,0,1,1
Charles Barkley,22.140726933830383,11.692451071761417,3.928238583410997,3,1,1,1
Marvin Barnes,24.0625,13.381944444444445,2.7708333333333335,3,1,1,1
Rick Barry,30.460176991150444,7.5,4.1371681415929205,3,1,1,1
Rick Barry,23.16750629722922,6.508816120906801,5.05919395465995,3,1,1,1
Elgin Baylor,27.3628841607565,13.549645390070921,4.314420803782506,3,1,1,1
Zelmo Beaty,19.122257053291538,11.648902821316614,1.6489028213166144,3,1,1,1
Walt Bellamy,20.077660594439116,13.653883029721955,2.439117929050815,3,1,1,1
Benoit Benjamin,11.428748451053284,7.5130111524163565,1.325898389095415,3,1,1,1
Mike Bibby,16.052837573385517,3.3737769080234834,6.551859099804306,3,1,1,1
Dave Bing,20.340732519422865,3.7957824639289677,5.990011098779134,3,1,1,1
Larry Bird,24.29319955406912,10.004459308807135,6.348940914158305,3,1,1,1
Mookie Blaylock,13.45556805399325,4.115860517435321,6.717660292463442,3,1,1,1
Muggsy Bogues,7.714285714285714,2.607424071991001,7.565804274465692,3,1,1,1
Manute Bol,2.5625,4.24198717948718,0.27403846153846156,3,1,1,1
Chris Bosh,14.243589743589743,8.173076923076923,1.4807692307692308,3,1,1,1
Sam Bowie,10.888454011741683,7.524461839530333,2.1037181996086107,3,1,1,1
Shawn Bradley,8.115384615384615,6.331730769230769,0.6887019230769231,3,1,1,1
Elton Brand,19.501118568232663,10.442953020134228,2.635346756152125,3,1,1,1
Terrell Brandon,13.803867403314918,3.0027624309392267,6.087016574585635,3,1,1,1
Bill Bridges,11.892008639308855,11.937365010799136,2.7570194384449245,3,1,1,1
John Brisker,26.09268292682927,8.06829268292683,2.7414634146341466,3,1,1,1
Larry Brown,11.247340425531915,2.672872340425532,6.672872340425532,3,1,1,1
Kobe Bryant,22.382775119617225,5.118022328548644,4.446570972886763,3,1,1,1
